Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
GL,chicken,0,544,619,544,7,,,,,,,,,
GL,childhood,0,515,489,515,9,,,,,,,,,
BN,chin,4.6,237,585,513,4,,,,,,,,,
GL,chink,0,393,429,393,5,,,,,,,,,
BN,chip,4.6,247,595,567,4,,,,,,,,,
GL,chlorine,0,433,480,433,8,,,,,,,,,
BN,choose,5.5,313,239,624,6,,,,,,,,,
GL,chop,0,487,575,487,4,,,,,,,,,
BN,choral,9,537,343,412,6,,,,,,,,,
GL,chow,0,298,326,298,4,,,,,,,,,
GL,chrome,0,385,491,385,6,,,,,,,,,
GL,chronology,0,302,291,302,10,,,,,,,,,
BN,chubby,5.5,315,530,513,6,,,,,,,,,
GL,church,0,560,616,560,6,,,,,,,,,
GL,cider,0,507,626,507,5,,,,,,,,,
BN,cigar,7.4,439,644,447,5,,,,,,,,,
GL,circle,0,581,591,581,6,,,,,,,,,
GL,circuit,0,442,472,442,7,,,,,,,,,
GL,circumstance,0,511,210,511,12,,,,,,,,,
BN,circus,5.1,261,595,418,6,,,,,,,,,
GL,civilization,0,491,437,491,12,,,,,,,,,
GL,claim,0,525,321,525,5,,,,,,,,,
GL,clamour,0,351,362,351,7,,,,,,,,,
BN,clan,9.1,564,335,408,4,,,,,,,,,
GL,clash,0,488,456,488,5,,,,,,,,,
GL,clasp,0,441,456,441,5,,,,,,,,,
BN,clause,11.1,700,260,419,6,,,,,,,,,
GL,clay,0,455,575,455,4,,,,,,,,,
GL,clearance,0,418,319,418,9,,,,,,,,,
GL,cleaver,0,357,478,357,7,,,,,,,,,
BN,clement,9.9,607,178,338,7,,,,,,,,,
BN,clergy,9.5,597,490,397,6,,,,,,,,,
GL,clever,0,515,378,515,6,,,,,,,,,
BN,click,5.8,320,320,576,5,,,,,,,,,
BN,client,8.7,546,405,485,6,,,,,,,,,
GL,cliff,0,479,599,479,5,,,,,,,,,
BN,climate,7.6,453,382,486,7,,,,,,,,,
BN,climax,9.1,551,360,466,6,,,,,,,,,
BN,climb,4.8,240,485,540,5,,,,,,,,,
BN,cling,6.5,380,421,486,5,,,,,,,,,
GL,clink,0,382,472,382,5,,,,,,,,,
BN,cloak,5.5,315,543,433,5,,,,,,,,,
BN,clobber,8.1,492,282,412,7,,,,,,,,,
BN,clock,4.1,210,640,636,5,,,,,,,,,
GL,close,0,587,420,587,5,,,,,,,,,
BN,closure,9,553,269,453,7,,,,,,,,,
BN,cloth,4.9,255,487,529,5,,,,,,,,,
GL,clothes,0,652,629,652,7,,,,,,,,,
BN,cloud,4.3,223,624,558,5,,,,,,,,,
GL,clove,0,395,446,395,5,,,,,,,,,
BN,clue,5.8,322,339,520,4,,,,,,,,,
BN,clumsy,5.9,338,402,510,6,,,,,,,,,
BN,clung,7.1,418,270,447,5,,,,,,,,,
BN,cluster,8,480,430,463,7,,,,,,,,,
BN,clutch,8.4,510,415,486,6,,,,,,,,,
BN,clutter,7,414,487,501,7,,,,,,,,,
BN,coach,5.6,300,624,513,5,,,,,,,,,
GL,coach,0,509,560,509,5,,,,,,,,,
GL,coal,0,513,581,513,4,,,,,,,,,
BN,coarse,8.8,531,302,443,6,,,,,,,,,
BN,coaster,7.3,439,465,449,7,,,,,,,,,
GL,coat,0,610,572,610,4,,,,,,,,,
BN,cock,7.7,389,611,484,4,,,,,,,,,
GL,cock,0,434,586,434,4,,,,,,,,,
BN,cockney,9.9,626,325,438,7,,,,,,,,,
BN,cocoa,6,341,563,476,5,,,,,,,,,
BN,code,6.3,359,299,510,4,,,,,,,,,
BN,coerce,11.5,700,145,389,6,,,,,,,,,
GL,coffee,0,625,618,625,6,,,,,,,,,
GL,coffer,0,279,302,279,6,,,,,,,,,
GL,coif,0,157,202,157,4,,,,,,,,,
BN,coin,4.6,241,626,588,4,,,,,,,,,
BN,cola,5.3,307,608,542,4,,,,,,,,,
GL,cold,0,626,531,626,4,,,,,,,,,
BN,collect,5.8,322,279,570,7,,,,,,,,,
GL,collection,0,538,419,538,10,,,,,,,,,
GL,collegiate,0,217,216,217,10,,,,,,,,,
GL,cologne,0,407,586,407,7,,,,,,,,,
BN,colonel,8.9,544,433,398,7,,,,,,,,,
BN,colour,3.6,183,552,650,6,,,,,,,,,
GL,colouration,0,310,435,310,11,,,,,,,,,
GL,column,0,519,491,519,6,,,,,,,,,
BN,combat,7.7,460,464,463,6,,,,,,,,,
GL,combination,0,493,326,493,11,,,,,,,,,
GL,comestible,0,152,183,152,10,,,,,,,,,
BN,comet,8,492,525,426,5,,,,,,,,,
BN,comma,7.1,429,555,516,5,,,,,,,,,
BN,command,7.1,413,300,488,7,,,,,,,,,
GL,commander,0,409,478,409,9,,,,,,,,,
GL,commencement,0,407,291,407,12,,,,,,,,,
BN,comment,7.7,480,245,557,7,,,,,,,,,
GL,commercial,0,536,460,536,10,,,,,,,,,
GL,committee,0,532,481,532,9,,,,,,,,,
GL,communication,0,527,391,527,13,,,,,,,,,
GL,community,0,499,416,499,9,,,,,,,,,
GL,company,0,573,426,573,7,,,,,,,,,
BN,compare,7.1,401,166,594,7,,,,,,,,,
BN,compass,7.2,422,600,445,7,,,,,,,,,
GL,compatriot,0,331,405,331,10,,,,,,,,,
BN,compete,6.5,380,299,511,7,,,,,,,,,
GL,competition,0,544,443,544,11,,,,,,,,,
BN,complex,9.1,553,263,543,7,,,,,,,,,
GL,complication,0,480,289,480,12,,,,,,,,,
GL,compliment,0,511,406,511,10,,,,,,,,,
GL,composer,0,448,467,448,8,,,,,,,,,
GL,compression,0,360,375,360,11,,,,,,,,,
GL,comrade,0,397,515,397,7,,,,,,,,,
BN,conceal,8.4,477,274,460,7,,,,,,,,,
BN,concept,9.3,570,197,536,7,,,,,,,,,
GL,concern,0,519,353,519,7,,,,,,,,,
GL,concert,0,520,578,520,7,,,,,,,,,
GL,conclusion,0,577,345,577,10,,,,,,,,,
BN,concoct,9.4,573,266,421,7,,,,,,,,,
GL,concurrence,0,314,256,314,11,,,,,,,,,
GL,condition,0,571,297,571,9,,,,,,,,,
GL,cone,0,506,559,506,4,,,,,,,,,
BN,confer,9.7,614,226,425,6,,,,,,,,,
GL,conference,0,498,465,498,10,,,,,,,,,
BN,confess,7.1,433,291,472,7,,,,,,,,,
BN,confide,9.2,567,238,511,7,,,,,,,,,
GL,confidence,0,566,371,566,10,,,,,,,,,
GL,conflict,0,494,432,494,8,,,,,,,,,
BN,conform,9.6,581,172,471,7,,,,,,,,,
BN,confuse,6.6,380,262,580,7,,,,,,,,,
GL,confusion,0,554,437,554,9,,,,,,,,,
GL,congress,0,389,356,389,8,,,,,,,,,
GL,conjugation,0,340,272,340,11,,,,,,,,,
BN,conquer,7.2,420,364,405,7,,,,,,,,,
GL,conscience,0,536,386,536,10,,,,,,,,,
BN,consent,8.5,527,226,501,7,,,,,,,,,
GL,consequence,0,502,299,502,11,,,,,,,,,
GL,conservation,0,476,391,476,12,,,,,,,,,
GL,consideration,0,500,318,500,13,,,,,,,,,
GL,consolation,0,457,335,457,11,,,,,,,,,
GL,conspirator,0,364,386,364,11,,,,,,,,,
GL,constitution,0,466,395,466,12,,,,,,,,,
GL,construction,0,466,410,466,12,,,,,,,,,
GL,consummation,0,335,324,335,12,,,,,,,,,
BN,contain,6.4,378,250,560,7,,,,,,,,,
GL,contamination,0,388,456,388,13,,,,,,,,,
BN,contend,9.5,570,201,445,7,,,,,,,,,
GL,content,0,553,391,553,7,,,,,,,,,
BN,contest,6.9,426,278,497,7,,,,,,,,,
BN,context,9.4,570,213,506,7,,,,,,,,,
GL,continent,0,459,478,459,9,,,,,,,,,
GL,continuation,0,470,321,470,12,,,,,,,,,
GL,contraction,0,454,397,454,11,,,,,,,,,
GL,control,0,559,347,559,7,,,,,,,,,
BN,convene,10.9,661,205,402,7,,,,,,,,,
BN,convent,8.5,532,465,434,7,,,,,,,,,
BN,convert,8.9,546,245,508,7,,,,,,,,,
GL,conveyance,0,384,397,384,10,,,,,,,,,
BN,convict,8.7,526,384,427,7,,,,,,,,,
GL,convocation,0,175,151,175,11,,,,,,,,,
BN,convoy,9.2,564,396,422,6,,,,,,,,,
BN,cook,4.5,237,529,614,4,,,,,,,,,
GL,coolness,0,451,462,451,8,,,,,,,,,
GL,copper,0,491,548,491,6,,,,,,,,,
BN,copy,5.3,295,388,575,4,,,,,,,,,
GL,coral,0,425,561,425,5,,,,,,,,,
BN,cord,6.5,384,455,443,4,,,,,,,,,
GL,core,0,459,497,459,4,,,,,,,,,
BN,cork,6.5,386,619,458,4,,,,,,,,,
GL,corkscrew,0,445,580,445,9,,,,,,,,,
BN,corn,5.3,299,580,469,4,,,,,,,,,
GL,cornice,0,252,302,252,7,,,,,,,,,
GL,corporation,0,427,337,427,11,,,,,,,,,
BN,corpse,8.3,498,534,464,6,,,,,,,,,
GL,correspondent,0,484,424,484,13,,,,,,,,,
GL,corridor,0,579,553,579,8,,,,,,,,,
BN,corrupt,8.9,533,220,482,7,,,,,,,,,
GL,corse,0,220,183,220,5,,,,,,,,,
BN,cortex,12.2,700,293,460,6,,,,,,,,,
GL,costume,0,456,538,456,7,,,,,,,,,
GL,cotton,0,521,562,521,6,,,,,,,,,
BN,couch,5.5,310,511,525,5,,,,,,,,,
BN,cough,4.7,252,497,584,5,,,,,,,,,
GL,council,0,508,405,508,7,,,,,,,,,
BN,count,4.2,220,390,558,5,,,,,,,,,
BN,counter,5.3,305,465,479,7,,,,,,,,,
GL,counterpane,0,327,418,327,11,,,,,,,,,
GL,country,0,592,539,592,7,,,,,,,,,
BN,county,7.4,433,317,483,6,,,,,,,,,
BN,coup,11.8,700,195,385,4,,,,,,,,,
GL,courage,0,511,440,511,7,,,,,,,,,
GL,cousin,0,515,478,515,6,,,,,,,,,
GL,cover,0,597,443,597,5,,,,,,,,,
BN,coward,6.8,401,251,471,6,,,,,,,,,
GL,cowl,0,240,337,240,4,,,,,,,,,
GL,crab,0,433,589,433,4,,,,,,,,,
BN,craft,6.6,360,413,468,5,,,,,,,,,
GL,craft,0,487,429,487,5,,,,,,,,,
GL,crane,0,428,562,428,5,,,,,,,,,
BN,crap,9,553,335,638,4,,,,,,,,,
BN,crash,4.9,268,534,513,5,,,,,,,,,
BN,crater,8.2,502,555,404,6,,,,,,,,,
GL,craven,0,288,262,288,6,,,,,,,,,
BN,crawl,4.3,234,475,520,5,,,,,,,,,
BN,crazy,5.9,339,416,595,5,,,,,,,,,
GL,creature,0,508,492,508,8,,,,,,,,,
BN,credit,9,547,311,576,6,,,,,,,,,
BN,creek,7.5,428,378,423,5,,,,,,,,,
BN,creep,6.8,394,354,475,5,,,,,,,,,
GL,creeper,0,390,526,390,7,,,,,,,,,
BN,crept,5.9,324,281,483,5,,,,,,,,,
BN,crest,8.1,491,311,412,5,,,,,,,,,
BN,crevice,9.7,605,400,445,7,,,,,,,,,
GL,crew,0,442,486,442,4,,,,,,,,,
BN,cricket,5.9,337,603,486,7,,,,,,,,,
GL,crime,0,537,471,537,5,,,,,,,,,
BN,crisis,8.4,523,279,499,6,,,,,,,,,
BN,crisp,4.3,227,535,591,5,,,,,,,,,
BN,critic,10,602,226,485,6,,,,,,,,,
GL,criticism,0,518,333,518,9,,,,,,,,,
GL,crock,0,356,351,356,5,,,,,,,,,
GL,crook,0,467,526,467,5,,,,,,,,,
BN,crop,5.9,314,474,452,4,,,,,,,,,
BN,cross,5.2,279,567,577,5,,,,,,,,,
GL,crow,0,490,578,490,4,,,,,,,,,
BN,crowd,5.7,334,575,583,5,,,,,,,,,
BN,crown,4.8,245,645,447,5,,,,,,,,,
GL,crucifix,0,416,576,416,8,,,,,,,,,
BN,crude,9.3,570,246,483,5,,,,,,,,,
BN,cruel,5.6,327,300,525,5,,,,,,,,,
BN,cruise,7.1,426,516,442,6,,,,,,,,,
BN,crumble,5.6,310,475,495,7,,,,,,,,,
BN,crunchy,5,283,404,546,7,,,,,,,,,
GL,crush,0,480,480,480,5,,,,,,,,,
BN,crust,5.1,298,540,520,5,,,,,,,,,
GL,crypt,0,320,553,320,5,,,,,,,,,
BN,crystal,6.2,353,566,454,7,,,,,,,,,
GL,cube,0,502,575,502,4,,,,,,,,,
BN,cubic,8.8,546,287,430,5,,,,,,,,,
GL,cue,0,420,448,420,3,,,,,,,,,
GL,cult,0,437,386,437,4,,,,,,,,,
BN,culture,7.6,463,287,541,7,,,,,,,,,
GL,cunning,0,417,380,417,7,,,,,,,,,
BN,curb,6.5,384,441,488,4,,,,,,,,,
BN,cure,6.8,363,346,496,4,,,,,,,,,
GL,cure,0,526,397,526,4,,,,,,,,,
GL,curiosity,0,515,394,515,9,,,,,,,,,
BN,curious,6.9,394,254,513,7,,,,,,,,,
BN,current,7.7,466,330,578,7,,,,,,,,,
BN,curry,6.7,361,587,564,5,,,,,,,,,
GL,curse,0,484,415,484,5,,,,,,,,,
GL,curve,0,521,520,521,5,,,,,,,,,
BN,cushion,5,268,613,572,7,,,,,,,,,
BN,custom,8.3,484,166,506,6,,,,,,,,,
GL,customer,0,549,488,549,8,,,,,,,,,
BN,cutter,6,353,367,402,6,,,,,,,,,
GL,cuttle,0,184,213,184,6,,,,,,,,,
GL,cynic,0,465,377,465,5,,,,,,,,,
GL,cyst,0,335,510,335,4,,,,,,,,,
GL,dad,0,646,626,646,3,,,,,,,,,
GL,dairy,0,467,537,467,5,,,,,,,,,
BN,daisy,4.6,236,640,440,5,,,,,,,,,
GL,damage,0,558,443,558,6,,,,,,,,,
BN,dame,8.5,539,410,408,4,,,,,,,,,
BN,damp,5.9,322,461,531,4,,,,,,,,,
GL,damsel,0,292,551,292,6,,,,,,,,,
BN,dandy,9.6,610,275,421,5,,,,,,,,,
GL,danger,0,557,505,557,6,,,,,,,,,
BN,dangle,6.9,406,429,462,6,,,,,,,,,
BN,dapper,10.9,666,274,370,6,,,,,,,,,
BN,dare,5.4,299,246,514,4,,,,,,,,,
GL,darkness,0,578,622,578,8,,,,,,,,,
BN,darling,5,283,270,575,7,,,,,,,,,
GL,dart,0,496,597,496,4,,,,,,,,,
BN,data,8.9,553,375,564,4,,,,,,,,,
GL,date,0,613,501,613,4,,,,,,,,,
GL,dawn,0,507,586,507,4,,,,,,,,,
GL,daylight,0,547,575,547,8,,,,,,,,,
BN,deaf,5.6,310,323,496,4,,,,,,,,,
GL,deal,0,522,383,522,4,,,,,,,,,
BN,dealt,7.8,463,154,514,5,,,,,,,,,
BN,dean,10.9,671,325,402,4,,,,,,,,,
GL,debate,0,459,397,459,6,,,,,,,,,
BN,debt,8.7,523,283,569,4,,,,,,,,,
GL,debut,0,351,316,351,5,,,,,,,,,
BN,decay,7.7,459,445,465,5,,,,,,,,,
GL,deceit,0,440,338,440,6,,,,,,,,,
BN,decent,8.2,498,246,520,6,,,,,,,,,
GL,decision,0,601,340,601,8,,,,,,,,,
GL,deck,0,507,539,507,4,,,,,,,,,
GL,decomposition,0,417,448,417,13,,,,,,,,,
GL,decree,0,376,341,376,6,,,,,,,,,
BN,deed,8.1,495,240,451,4,,,,,,,,,
GL,deer,0,509,624,509,4,,,,,,,,,
GL,defence,0,479,413,479,7,,,,,,,,,
GL,defiance,0,432,383,432,8,,,,,,,,,
GL,definition,0,519,224,519,10,,,,,,,,,
GL,degree,0,574,521,574,6,,,,,,,,,
GL,deity,0,304,299,304,5,,,,,,,,,
GL,delegation,0,412,356,412,10,,,,,,,,,
BN,delight,6.3,347,429,502,7,,,,,,,,,
GL,delight,0,510,459,510,7,,,,,,,,,
GL,dell,0,244,397,244,4,,,,,,,,,
GL,delta,0,359,499,359,5,,,,,,,,,
BN,delude,10.2,638,200,427,6,,,,,,,,,
BN,deluge,11.4,700,340,365,6,,,,,,,,,
GL,demeanour,0,302,235,302,9,,,,,,,,,
BN,demon,7.2,426,533,454,5,,,,,,,,,
GL,demonstration,0,537,486,537,13,,,,,,,,,
GL,denial,0,407,364,407,6,,,,,,,,,
BN,dense,8.4,500,279,492,5,,,,,,,,,
GL,dent,0,480,486,480,4,,,,,,,,,
BN,dentist,5.2,283,635,480,7,,,,,,,,,
GL,department,0,596,426,596,10,,,,,,,,,
GL,deposit,0,532,413,532,7,,,,,,,,,
GL,depression,0,541,453,541,10,,,,,,,,,
GL,deputy,0,462,435,462,6,,,,,,,,,
GL,derivation,0,434,267,434,10,,,,,,,,,
BN,descent,8.2,507,287,445,7,,,,,,,,,
GL,description,0,556,326,556,11,,,,,,,,,
BN,desert,5.4,305,615,514,6,,,,,,,,,
BN,deserve,6.4,373,209,562,7,,,,,,,,,
GL,design,0,538,407,538,6,,,,,,,,,
BN,desk,4.8,264,614,590,4,,,,,,,,,
GL,despair,0,484,388,484,7,,,,,,,,,
GL,desperation,0,477,389,477,11,,,,,,,,,
BN,despise,8,467,300,478,7,,,,,,,,,
GL,despot,0,313,297,313,6,,,,,,,,,
BN,destroy,6.1,338,360,517,7,,,,,,,,,
GL,destruction,0,488,505,488,11,,,,,,,,,
BN,detail,6.7,399,228,550,6,,,,,,,,,
GL,detective,0,509,524,509,9,,,,,,,,,
GL,detestation,0,240,318,240,11,,,,,,,,,
GL,development,0,536,356,536,11,,,,,,,,,
BN,deviant,9.6,583,254,439,7,,,,,,,,,
GL,device,0,500,391,500,6,,,,,,,,,
BN,devise,9.1,560,160,471,6,,,,,,,,,
GL,dew,0,427,559,427,3,,,,,,,,,
GL,dexterity,0,332,316,332,9,,,,,,,,,
GL,diadem,0,232,281,232,6,,,,,,,,,
GL,diamond,0,512,623,512,7,,,,,,,,,
GL,dictation,0,432,432,432,9,,,,,,,,,
GL,diet,0,556,486,556,4,,,,,,,,,
GL,difference,0,592,293,592,10,,,,,,,,,
GL,diffusion,0,437,376,437,9,,,,,,,,,
BN,digit,7.5,452,457,469,5,,,,,,,,,
GL,dignity,0,454,413,454,7,,,,,,,,,
GL,dimension,0,483,355,483,9,,,,,,,,,
GL,diner,0,442,497,442,5,,,,,,,,,
BN,dinner,3.7,181,590,694,6,,,,,,,,,
GL,dip,0,466,456,466,3,,,,,,,,,
BN,direct,7.1,407,160,541,6,,,,,,,,,
GL,direction,0,562,399,562,9,,,,,,,,,
GL,dirge,0,282,262,282,5,,,,,,,,,
BN,dirt,4.3,220,475,562,4,,,,,,,,,
GL,disagreement,0,489,362,489,12,,,,,,,,,
BN,disband,11.5,688,181,395,7,,,,,,,,,
GL,disc,0,466,575,466,4,,,,,,,,,
GL,discharge,0,414,426,414,9,,,,,,,,,
BN,disco,6.3,361,579,517,5,,,,,,,,,
GL,discolouration,0,356,370,356,14,,,,,,,,,
GL,discord,0,381,343,381,7,,,,,,,,,
GL,discovery,0,513,401,513,9,,,,,,,,,
GL,discussion,0,541,381,541,10,,,,,,,,,
BN,disease,6.2,353,436,499,7,,,,,,,,,
GL,disgrace,0,488,386,488,8,,,,,,,,,
BN,dish,4.4,221,594,594,4,,,,,,,,,
GL,dishonesty,0,475,362,475,10,,,,,,,,,
GL,disinfectant,0,499,529,499,12,,,,,,,,,
GL,dislocation,0,399,418,399,11,,,,,,,,,
BN,dismiss,7.6,467,205,506,7,,,,,,,,,
GL,dismissal,0,447,362,447,9,,,,,,,,,
GL,disparagement,0,242,194,242,13,,,,,,,,,
GL,display,0,567,453,567,7,,,,,,,,,
BN,dispose,8,492,269,493,7,,,,,,,,,
GL,dispute,0,520,421,520,7,,,,,,,,,
GL,disquiet,0,304,305,304,8,,,,,,,,,
GL,dissection,0,431,562,431,10,,,,,,,,,
BN,dissent,11.3,671,191,404,7,,,,,,,,,
GL,distance,0,594,432,594,8,,,,,,,,,
BN,distant,6.9,407,355,506,7,,,,,,,,,
GL,distinction,0,492,314,492,11,,,,,,,,,
GL,distress,0,494,443,494,8,,,,,,,,,
GL,ditch,0,511,558,511,5,,,,,,,,,
GL,dive,0,508,586,508,4,,,,,,,,,
BN,diverse,9.4,567,217,513,7,,,,,,,,,
BN,divert,9.3,562,218,461,6,,,,,,,,,
GL,dividend,0,387,313,387,8,,,,,,,,,
GL,division,0,518,404,518,8,,,,,,,,,
BN,dizzy,5,268,376,516,5,,,,,,,,,
GL,dock,0,483,559,483,4,,,,,,,,,
BN,dodgy,7.6,466,300,576,5,,,,,,,,,
GL,dog,0,598,636,598,3,,,,,,,,,
BN,dogma,12.3,700,100,401,5,,,,,,,,,
BN,dole,10.5,647,265,422,4,,,,,,,,,
GL,doll,0,503,565,503,4,,,,,,,,,
GL,dolt,0,233,259,233,4,,,,,,,,,
BN,dome,6.5,384,529,443,4,,,,,,,,,
GL,domination,0,417,421,417,10,,,,,,,,,
BN,doom,7.4,430,260,440,4,,,,,,,,,
GL,door,0,630,599,630,4,,,,,,,,,
GL,doorway,0,532,548,532,7,,,,,,,,,
BN,dopey,6.4,361,358,463,5,,,,,,,,,
GL,dormitory,0,369,575,369,9,,,,,,,,,
BN,dose,7.1,415,302,468,4,,,,,,,,,
GL,dot,0,524,556,524,3,,,,,,,,,
GL,dough,0,474,558,474,5,,,,,,,,,
GL,dowager,0,268,316,268,7,,,,,,,,,
GL,dowry,0,289,422,289,5,,,,,,,,,
GL,dozen,0,568,525,568,5,,,,,,,,,
BN,drab,8.9,520,320,429,4,,,,,,,,,
BN,draft,7.8,469,302,472,5,,,,,,,,,
BN,drag,5.3,289,366,520,4,,,,,,,,,
GL,drain,0,510,540,510,5,,,,,,,,,
GL,drape,0,396,464,396,5,,,,,,,,,
BN,draught,7.7,473,330,460,7,,,,,,,,,
BN,draw,4.4,227,414,584,4,,,,,,,,,
BN,drawn,5.1,291,275,498,5,,,,,,,,,
GL,dread,0,460,378,460,5,,,,,,,,,
BN,dream,5,282,463,592,5,,,,,,,,,
GL,dreamer,0,517,507,517,7,,,,,,,,,
BN,dress,4.1,227,661,592,5,,,,,,,,,
GL,dress,0,588,595,588,5,,,,,,,,,
BN,dresser,6.9,407,506,451,7,,,,,,,,,
BN,drew,5.1,276,269,505,4,,,,,,,,,
BN,drift,7.2,420,331,492,5,,,,,,,,,
GL,drink,0,628,553,628,5,,,,,,,,,
BN,drive,4.7,248,517,650,5,,,,,,,,,
GL,driver,0,593,567,593,6,,,,,,,,,
BN,drop,4.4,225,410,576,4,,,,,,,,,
BN,drought,7.7,463,354,429,7,,,,,,,,,
GL,drove,0,432,353,432,5,,,,,,,,,
BN,drown,5.7,313,465,466,5,,,,,,,,,
BN,drug,7.9,424,580,546,4,,,,,,,,,
GL,drug,0,539,564,539,4,,,,,,,,,
BN,drunk,7.5,466,450,614,5,,,,,,,,,
GL,dryad,0,180,251,180,5,,,,,,,,,
BN,dubious,9.4,583,160,468,7,,,,,,,,,
GL,duck,0,529,632,529,4,,,,,,,,,
GL,duel,0,439,494,439,4,,,,,,,,,
BN,duet,7.7,449,402,449,4,,,,,,,,,
BN,duke,6.7,401,402,428,4,,,,,,,,,
GL,dullness,0,436,383,436,8,,,,,,,,,
BN,dumb,5.5,306,274,541,4,,,,,,,,,
GL,dump,0,504,528,504,4,,,,,,,,,
BN,dung,6.9,407,534,412,4,,,,,,,,,
GL,dunghill,0,313,475,313,8,,,,,,,,,
GL,dusk,0,474,575,474,4,,,,,,,,,
BN,dust,5.8,330,497,510,4,,,,,,,,,
BN,duster,5.9,333,576,486,6,,,,,,,,,
BN,dustpan,5.8,327,585,501,7,,,,,,,,,
BN,dusty,6,339,498,495,5,,,,,,,,,
BN,duty,7.7,446,274,501,4,,,,,,,,,
BN,duvet,5.6,314,617,611,5,,,,,,,,,
BN,dwarf,5.1,276,608,437,5,,,,,,,,,
GL,dwelling,0,374,534,374,8,,,,,,,,,
GL,dye,0,490,506,490,3,,,,,,,,,
BN,eager,7.6,456,245,517,5,,,,,,,,,
BN,eagle,5.7,313,625,462,5,,,,,,,,,
GL,earl,0,358,435,358,4,,,,,,,,,
BN,earn,7,401,311,547,4,,,,,,,,,
GL,earth,0,580,580,580,5,,,,,,,,,
BN,ease,7.3,387,302,524,4,,,,,,,,,
GL,ease,0,519,327,519,4,,,,,,,,,
GL,eaves,0,367,491,367,5,,,,,,,,,
GL,echo,0,478,556,478,4,,,,,,,,,
GL,edge,0,569,495,569,4,,,,,,,,,
GL,edict,0,279,297,279,5,,,,,,,,,
BN,edit,8.2,492,234,540,4,,,,,,,,,
GL,education,0,585,416,585,9,,,,,,,,,
GL,educator,0,380,370,380,8,,,,,,,,,
GL,effect,0,602,280,602,6,,,,,,,,,
GL,effort,0,585,367,585,6,,,,,,,,,
GL,egg,0,608,599,608,3,,,,,,,,,
GL,eight,0,613,501,613,5,,,,,,,,,
BN,eighth,6.2,359,226,466,6,,,,,,,,,
BN,eighty,5.4,299,423,520,6,,,,,,,,,
GL,elaboration,0,403,325,403,11,,,,,,,,,
GL,elbow,0,564,602,564,5,,,,,,,,,
BN,eldest,5.6,330,367,562,6,,,,,,,,,
GL,election,0,535,435,535,8,,,,,,,,,
GL,electricity,0,601,486,601,11,,,,,,,,,
GL,elephant,0,459,616,459,8,,,,,,,,,
GL,elf,0,355,543,355,3,,,,,,,,,
GL,elimination,0,441,375,441,11,,,,,,,,,
BN,elite,10.3,632,283,469,5,,,,,,,,,
GL,elm,0,456,550,456,3,,,,,,,,,
GL,elopement,0,356,453,356,9,,,,,,,,,
BN,elude,10.5,645,129,423,5,,,,,,,,,
GL,emanation,0,261,270,261,9,,,,,,,,,
GL,emancipation,0,388,364,388,12,,,,,,,,,
GL,embellishment,0,317,275,317,13,,,,,,,,,
GL,embrace,0,433,597,433,7,,,,,,,,,
GL,emergency,0,558,487,558,9,,,,,,,,,
GL,emotion,0,549,478,549,7,,,,,,,,,
GL,emperor,0,379,502,379,7,,,,,,,,,
BN,employ,8.8,546,240,526,6,,,,,,,,,
GL,employment,0,531,435,531,10,,,,,,,,,
BN,empty,4.9,261,414,555,5,,,,,,,,,
GL,emulsion,0,428,451,428,8,,,,,,,,,
BN,enact,9.1,558,291,415,5,,,,,,,,,
GL,enchanter,0,320,378,320,9,,,,,,,,,
GL,encounter,0,463,370,463,9,,,,,,,,,
GL,endeavour,0,399,310,399,9,,,,,,,,,
BN,endless,6.6,380,282,517,7,,,,,,,,,
GL,endosperm,0,309,324,309,9,,,,,,,,,
BN,endure,9,553,178,476,6,,,,,,,,,
GL,enemy,0,523,497,523,5,,,,,,,,,
GL,engineer,0,514,495,514,8,,,,,,,,,
GL,enigma,0,290,259,290,6,,,,,,,,,
BN,enjoy,4.6,252,364,626,5,,,,,,,,,
GL,enlightenment,0,395,335,395,13,,,,,,,,,
BN,enrage,9,553,377,439,6,,,,,,,,,
GL,ensemble,0,366,419,366,8,,,,,,,,,
BN,ensure,8.6,524,185,505,6,,,,,,,,,
BN,entail,9.7,581,100,466,6,,,,,,,,,
GL,enterprise,0,407,319,407,10,,,,,,,,,
GL,enthusiasm,0,506,464,506,10,,,,,,,,,
GL,entrance,0,555,493,555,8,,,,,,,,,
BN,entry,6,330,293,565,5,,,,,,,,,
GL,enunciation,0,238,216,238,11,,,,,,,,,
BN,envy,7.8,412,366,500,4,,,,,,,,,
GL,envy,0,511,375,511,4,,,,,,,,,
GL,epicure,0,246,280,246,7,,,,,,,,,
GL,epitaph,0,348,418,348,7,,,,,,,,,
GL,equanimity,0,214,153,214,10,,,,,,,,,
BN,equine,11.5,697,353,411,6,,,,,,,,,
GL,equipment,0,543,410,543,9,,,,,,,,,
BN,erode,8.9,553,386,427,5,,,,,,,,,
GL,error,0,542,408,542,5,,,,,,,,,
BN,escape,6,331,379,520,6,,,,,,,,,
GL,escape,0,524,459,524,6,,,,,,,,,
BN,escort,8.3,520,334,453,6,,,,,,,,,
GL,essay,0,578,564,578,5,,,,,,,,,
GL,establishment,0,486,389,486,13,,,,,,,,,
BN,estate,8.1,492,469,480,6,,,,,,,,,
GL,estimate,0,505,305,505,8,,,,,,,,,
